ID_Aluno,Nome,Mes_Ano,Nota,Presenca,Avaliacao
1,Pietro Melo,2024-10,0.25,1,2
1,Pietro Melo,2024-11,7.36,0,5
1,Pietro Melo,2024-12,0.3,0,2
1,Pietro Melo,2025-01,0.27,0,5
1,Pietro Melo,2025-02,4.49,1,1
1,Pietro Melo,2025-03,1.6,1,3
1,Pietro Melo,2025-04,2.15,1,1
1,Pietro Melo,2025-07,6.04,0,4
1,Pietro Melo,2025-08,9.73,1,1
1,Pietro Melo,2025-09,8.29,1,5
2,Lívia Moura,2024-10,0.7,0,3
2,Lívia Moura,2024-11,8.55,0,4
2,Lívia Moura,2024-12,6.36,1,2
2,Lívia Moura,2025-01,2.1,1,1
2,Lívia Moura,2025-02,1.71,0,2
2,Lívia Moura,2025-03,2.7,0,3
2,Lívia Moura,2025-04,7.76,0,1
2,Lívia Moura,2025-05,4.01,0,2
2,Lívia Moura,2025-06,5.67,1,2
2,Lívia Moura,2025-07,3.96,1,2
2,Lívia Moura,2025-08,2.47,1,5
2,Lívia Moura,2025-09,5.84,1,2
3,Vinicius Almeida,2024-10,1.38,1,1
3,Vinicius Almeida,2024-11,8.61,0,2
3,Vinicius Almeida,2024-12,4.22,0,4
3,Vinicius Almeida,2025-01,9.96,1,5
3,Vinicius Almeida,2025-02,0.11,0,5
3,Vinicius Almeida,2025-03,7.69,1,1
3,Vinicius Almeida,2025-04,1.58,0,3
3,Vinicius Almeida,2025-05,7.62,0,3
3,Vinicius Almeida,2025-06,5.08,0,2
3,Vinicius Almeida,2025-07,1.62,0,5
3,Vinicius Almeida,2025-08,0.19,1,3
3,Vinicius Almeida,2025-09,2.41,0,1
4,Alexia Costela,2024-10,8.16,0,2
4,Alexia Costela,2024-11,9.47,0,3
4,Alexia Costela,2024-12,6.07,0,5
4,Alexia Costela,2025-01,6.9,1,4
4,Alexia Costela,2025-02,6.5,1,5
4,Alexia Costela,2025-03,2.48,0,3
4,Alexia Costela,2025-05,5.88,0,1
4,Alexia Costela,2025-06,0.59,0,1
4,Alexia Costela,2025-07,0.71,0,3
4,Alexia Costela,2025-08,2.14,0,5
4,Alexia Costela,2025-09,2.43,1,4
5,Heloísa Jesus,2024-10,0.97,1,3
5,Heloísa Jesus,2024-11,4.67,0,1
5,Heloísa Jesus,2025-01,8.01,0,2
5,Heloísa Jesus,2025-02,5.36,0,4
5,Heloísa Jesus,2025-03,4.63,0,4
5,Heloísa Jesus,2025-04,8.56,0,1
5,Heloísa Jesus,2025-05,5.41,0,1
5,Heloísa Jesus,2025-06,8.49,0,4
5,Heloísa Jesus,2025-07,2.14,1,1
5,Heloísa Jesus,2025-08,0.02,1,3
5,Heloísa Jesus,2025-09,7.85,1,4
6,Ana Vitória Costela,2024-10,7.31,1,2
6,Ana Vitória Costela,2024-11,2.18,0,5
6,Ana Vitória Costela,2024-12,0.61,1,1
6,Ana Vitória Costela,2025-02,9.19,0,1
6,Ana Vitória Costela,2025-03,0.8,0,1
6,Ana Vitória Costela,2025-04,6.75,0,4
6,Ana Vitória Costela,2025-05,8.9,0,5
6,Ana Vitória Costela,2025-06,6.19,1,5
6,Ana Vitória Costela,2025-07,3.16,1,2
6,Ana Vitória Costela,2025-08,3.14,1,4
6,Ana Vitória Costela,2025-09,6.46,1,3
7,Yuri Souza,2024-10,9.36,0,4
7,Yuri Souza,2024-11,5.63,0,1
7,Yuri Souza,2024-12,5.06,0,3
7,Yuri Souza,2025-01,8.79,1,3
7,Yuri Souza,2025-02,8.34,1,5
7,Yuri Souza,2025-03,8.07,0,5
7,Yuri Souza,2025-04,6.63,0,3
7,Yuri Souza,2025-05,1.07,0,3
7,Yuri Souza,2025-06,2.11,1,2
7,Yuri Souza,2025-07,8.53,1,3
7,Yuri Souza,2025-08,8.46,0,4
7,Yuri Souza,2025-09,0.44,1,2
8,Marcos Vinicius da Conceição,2024-10,2.62,1,5
8,Marcos Vinicius da Conceição,2024-11,5.61,0,1
8,Marcos Vinicius da Conceição,2024-12,6.91,0,5
8,Marcos Vinicius da Conceição,2025-02,5.53,1,2
8,Marcos Vinicius da Conceição,2025-04,9.33,0,3
8,Marcos Vinicius da Conceição,2025-05,2.5,0,3
8,Marcos Vinicius da Conceição,2025-06,8.84,1,5
8,Marcos Vinicius da Conceição,2025-07,9.26,0,2
8,Marcos Vinicius da Conceição,2025-08,8.11,1,1
8,Marcos Vinicius da Conceição,2025-09,9.24,1,2
9,Thiago Farias,2024-10,7.87,0,4
9,Thiago Farias,2024-11,8.59,0,2
9,Thiago Farias,2024-12,4.6,1,2
9,Thiago Farias,2025-01,6.6,1,3
9,Thiago Farias,2025-02,0.69,1,3
