ID_Aluno	Nome	Data_Feedback	Feedback_Instrutor	Indice_Bem_Estar_Social
1	Pietro Melo	2025-02-05	Excelente capacidade analítica e pensamento crítico	0.401
1	Pietro Melo	2025-05-23	Tem dificuldades com alguns conceitos, mas está progredindo	0.85
1	Pietro Melo	2025-07-09	Colaborativo e sempre disposto a ajudar os colegas	0.425
2	Lívia Moura	2024-11-10	Participativo e questionador, contribui para o aprendizado da turma	0.261
2	Lívia Moura	2025-02-27	Participativo e questionador, contribui para o aprendizado da turma	0.007
2	Lívia Moura	2025-03-23	Demonstra criatividade nas soluções apresentadas	0.629
2	Lívia Moura	2025-04-03	Apresentou melhora significativa neste período	0.371
2	Lívia Moura	2025-06-15	Precisa se esforçar mais para acompanhar o ritmo da turma	0.248
2	Lívia Moura	2025-08-01	Precisa desenvolver mais confiança para expressar suas ideias	0.806
2	Lívia Moura	2025-09-15	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.712
3	Vinicius Almeida	2024-10-02	Apresentou melhora significativa neste período	0.536
3	Vinicius Almeida	2025-01-08	Líder natural, ajuda os colegas frequentemente	0.35
3	Vinicius Almeida	2025-02-14	Tem potencial, mas precisa se dedicar mais aos estudos	0.312
3	Vinicius Almeida	2025-03-08	Demonstra maior engajamento nas atividades práticas	0.666
3	Vinicius Almeida	2025-06-04	Tem dificuldades com alguns conceitos, mas está progredindo	0.456
3	Vinicius Almeida	2025-08-15	Mantém consistência no desempenho ao longo do tempo	0.298
4	Alexia Costela	2024-12-26	Demonstra maior engajamento nas atividades práticas	0.537
4	Alexia Costela	2025-02-12	Pontual e organizado, exemplo para a turma	0.309
4	Alexia Costela	2025-03-16	Tem potencial, mas precisa se dedicar mais aos estudos	0.7
4	Alexia Costela	2025-06-05	Excelente capacidade analítica e pensamento crítico	0.826
4	Alexia Costela	2025-08-13	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.663
5	Heloísa Jesus	2024-11-25	Colaborativo e sempre disposto a ajudar os colegas	0.864
5	Heloísa Jesus	2025-02-04	Precisa trabalhar melhor em equipe	0.656
5	Heloísa Jesus	2025-04-02	Precisa se esforçar mais para acompanhar o ritmo da turma	0.293
5	Heloísa Jesus	2025-07-27	Precisa trabalhar melhor em equipe	0.506
5	Heloísa Jesus	2025-09-19	Estudante dedicado, sempre entrega as atividades no prazo	0.629
6	Ana Vitória Costela	2024-10-16	Precisa trabalhar melhor em equipe	0.91
6	Ana Vitória Costela	2025-01-22	Precisa se esforçar mais para acompanhar o ritmo da turma	0.135
6	Ana Vitória Costela	2025-02-11	Demonstra evolução constante ao longo do curso	0.647
6	Ana Vitória Costela	2025-03-16	Estudante dedicado, sempre entrega as atividades no prazo	0.135
6	Ana Vitória Costela	2025-05-20	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.833
6	Ana Vitória Costela	2025-06-15	Apresentou melhora significativa neste período	0.697
6	Ana Vitória Costela	2025-07-11	Líder natural, ajuda os colegas frequentemente	0.828
6	Ana Vitória Costela	2025-08-04	Colaborativo e sempre disposto a ajudar os colegas	0.282
7	Yuri Souza	2024-10-26	Demonstra maior engajamento nas atividades práticas	0.595
7	Yuri Souza	2025-01-04	Mostra iniciativa para resolver problemas complexos	0.618
7	Yuri Souza	2025-06-06	Tem dificuldades com alguns conceitos, mas está progredindo	0.566
7	Yuri Souza	2025-07-13	Participativo e questionador, contribui para o aprendizado da turma	0.556
7	Yuri Souza	2025-09-02	Demonstra evolução constante ao longo do curso	0.261
8	Marcos Vinicius da Conceição	2024-10-14	Mostra interesse, mas falta um pouco de foco durante as aulas	0.322
8	Marcos Vinicius da Conceição	2024-12-27	Tem potencial, mas precisa se dedicar mais aos estudos	0.64
8	Marcos Vinicius da Conceição	2025-01-17	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.929
8	Marcos Vinicius da Conceição	2025-05-08	Demonstra maior engajamento nas atividades práticas	0.879
8	Marcos Vinicius da Conceição	2025-07-18	Colaborativo e sempre disposto a ajudar os colegas	0.966
9	Thiago Farias	2024-10-17	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.007
9	Thiago Farias	2024-12-18	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.669
9	Thiago Farias	2025-04-18	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.365
9	Thiago Farias	2025-06-08	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.0
9	Thiago Farias	2025-09-04	Mantém consistência no desempenho ao longo do tempo	0.768
10	Thiago das Neves	2024-12-21	Demonstra criatividade nas soluções apresentadas	0.051
10	Thiago das Neves	2025-05-13	Mantém consistência no desempenho ao longo do tempo	0.736
10	Thiago das Neves	2025-06-21	Tem dificuldades com alguns conceitos, mas está progredindo	0.786
10	Thiago das Neves	2025-08-25	Líder natural, ajuda os colegas frequentemente	0.01
11	Breno da Mota	2024-10-25	Tem potencial, mas precisa se dedicar mais aos estudos	0.571
11	Breno da Mota	2024-11-23	Precisa trabalhar melhor em equipe	0.467
11	Breno da Mota	2025-06-06	Tem dificuldades com alguns conceitos, mas está progredindo	0.205
12	Enrico das Neves	2024-10-14	Líder natural, ajuda os colegas frequentemente	0.332
12	Enrico das Neves	2024-11-05	Mostra iniciativa para resolver problemas complexos	0.663
12	Enrico das Neves	2024-12-01	Demonstra criatividade nas soluções apresentadas	0.454
12	Enrico das Neves	2025-02-27	Demonstra criatividade nas soluções apresentadas	0.662
12	Enrico das Neves	2025-03-27	Mostra iniciativa para resolver problemas complexos	0.308
12	Enrico das Neves	2025-04-19	Demonstra maior engajamento nas atividades práticas	0.06
12	Enrico das Neves	2025-08-25	Pontual e organizado, exemplo para a turma	0.306
12	Enrico das Neves	2025-09-06	Demonstra evolução constante ao longo do curso	0.2
13	Sr. Pedro Miguel Souza	2024-12-09	Demonstra evolução constante ao longo do curso	0.655
13	Sr. Pedro Miguel Souza	2025-02-17	Precisa desenvolver mais confiança para expressar suas ideias	0.456
13	Sr. Pedro Miguel Souza	2025-03-05	Mantém consistência no desempenho ao longo do tempo	0.649
13	Sr. Pedro Miguel Souza	2025-05-12	Precisa desenvolver mais confiança para expressar suas ideias	0.849
13	Sr. Pedro Miguel Souza	2025-06-25	Pontual e organizado, exemplo para a turma	0.94
13	Sr. Pedro Miguel Souza	2025-08-03	Bom desempenho, mas pode melhorar a participação nas discussões	0.609
13	Sr. Pedro Miguel Souza	2025-09-21	Mantém consistência no desempenho ao longo do tempo	0.816
14	Daniel Barros	2024-11-18	Apresentou melhora significativa neste período	0.366
14	Daniel Barros	2025-04-01	Precisa desenvolver mais confiança para expressar suas ideias	0.321
14	Daniel Barros	2025-07-01	Demonstra criatividade nas soluções apresentadas	0.587
15	Maria Fernanda Porto	2025-02-22	Bom desempenho, mas pode melhorar a participação nas discussões	0.981
15	Maria Fernanda Porto	2025-07-22	Mostra iniciativa para resolver problemas complexos	0.298
15	Maria Fernanda Porto	2025-08-14	Colaborativo e sempre disposto a ajudar os colegas	0.566
16	Anthony Castro	2024-10-03	Estudante dedicado, sempre entrega as atividades no prazo	0.562
16	Anthony Castro	2024-12-28	Mostra interesse, mas falta um pouco de foco durante as aulas	0.922
16	Anthony Castro	2025-02-26	Mantém consistência no desempenho ao longo do tempo	0.301
16	Anthony Castro	2025-03-09	Bom desempenho, mas pode melhorar a participação nas discussões	0.842
16	Anthony Castro	2025-04-24	Apresentou melhora significativa neste período	0.27
16	Anthony Castro	2025-05-06	Mantém consistência no desempenho ao longo do tempo	0.28
16	Anthony Castro	2025-08-22	Precisa se esforçar mais para acompanhar o ritmo da turma	0.275
16	Anthony Castro	2025-09-20	Precisa se esforçar mais para acompanhar o ritmo da turma	0.473
17	Dra. Lorena Nunes	2024-12-18	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.98
17	Dra. Lorena Nunes	2025-03-25	Participativo e questionador, contribui para o aprendizado da turma	0.446
17	Dra. Lorena Nunes	2025-04-16	Tem dificuldades com alguns conceitos, mas está progredindo	0.987
